,header,contents,date
10,뉴케어 액티브 프레소 : 박인비 선수의 프로틴커피,"참, 이거 박인비 선수가 모델이라 박인비 단백질로도 불리는 모양이다. 넘 멋있는 박인비선수! 응원합니다 내심 패키지에 박인비 선수 사진이 있으려나 살짝 기대했는데 그냥 깔끔한 일러스트가 그려져있더라ㅎㅎ (그래서 가져온 광고이미지) 얼핏 보면 그냥 두유같은데 이래뵈도 아미노산...",2021. 8. 10.
11,펌글-한국 여자 골프 위기론에… ‘여제’ 박인비가 내놓은 해법은,"전환기의 한국여자골프 릴레이 인터뷰<1> 박인비… “LPGA 대포 경쟁, 한국도 대비를”, “안나린·최혜진 하던 대로 하면 돼”, “한국 주니어 골프 비용 너무 비싸” 2022년 자신의 16번째 LPGA투어 시즌을 맞이한 박인비는 “코스 세팅이나 비거리에서 오는 부담 등 모든 게 힘들어요. 그래도...",2022. 1. 19.
12,LPGA 기아클래식 2021 박인비 선수 우승 및 사용클럽,"2021년 LPGA 기아클래식, 박인비 선수가 와이어 투 와이어 우승을 차지 했습니다. 2021년 첫 LPGA 대뷔 무대에서 우승을 차지해 버리는 박인비 선수의 클래스란 정말.. 대단 하다고 말 할 수 밖에 없을 것 같습니다. 2021년도에 더 많은 우승 소식으로 많은 기쁨을 함께 하면 좋겠네요. 사진 : LPGA.com...",2021. 3. 29.
13,"[LA오픈 3R] 나사 하타오카 선두(-11), 한나 그린 2위(-7), 박인비·강혜지·고진영...","고진영(26세)과 박인비(33세), 강혜지(31세)가 미국여자프로골프(LPGA)투어 디오임플란트LA오픈(총상금 150만달러) 3라운드를 공동 3위로 끝냈다.... 한국 선수는 11명(고진영, 강혜지, 박인비, 김세영, 박성현, 박희영, 최운정, 유소연, 지은희, 신지은, 최혜진)이 3라운드 경기에 나선다. 공동 3위...",2022. 4. 24.
14,박인비&오토플렉스,"정두나 제가 좋아하는 골프 여제 박인비 프로. 얼마 전(2월 26일) 샤프트 시타를 했는데, ""앗 뭐 이런 샤프트가 있지???"" 했었대요. 박인비 프로. 오늘 미국 출발 전 샤프트 장착하러 왔습니다. 화면에서 볼 때 스윙 스피드가 느린 줄 알았어요. 역시 스윙이 좋더라고요. 스피드 빠르고요....",2021. 8. 6.
15,"*최혜진,박인비,박성현등 출전-2022 LPGA 투어""숖라이트 클래식*","리디아고 뉴질랜드 교포 리디아 고가 한 계단 내려 앉아 4위에 김효주 김효주가 한 계단 올라 8위로 박인비가 김세영 9위에... 고진영과 박인비를 비롯하여 이정은6, 최혜진, 전인지,박성현, 김아림, 신지은,안나린, 이미림, 최운정,김인경, 최나연, 홍예은,이정은5...",2022. 6. 8.
16,US여자오픈 우승상금과 대회 주요정보 정리(ft.박인비 불참),"이번 대회의 아쉬운 점 딱 하나는 박인비 불참이다. 박인비는 한국선수 중 유일하게 us여자오픈을 2008년/2013년 두번 제패했는데, 이번 대회에는 컨디션 난조로 인해 불참하게 됐다. 부상은 아니기 때문에 얼른 컨디션을 회복해서 다시금 모습을 보여줬으면 하는 바람이다. us여자오픈...",2022. 6. 1.
17,"[도쿄올림픽 소식] 전웅태, 정진화, 김세영, 고진영, 김효주, 박인비, 심종섭, 오주한...","당신은 영원한 국가대표입니다 - 골프 박인비 선수 2016년 리우데자네이루 올림픽 때 금메달을 목에 걸었던 박인비 선수. 이번 올림픽에서도 좋은 성적을 기대했는데요. 아쉽게도 공동 23위로 경기를 마감했습니다. 경기 후 박 선수는 ""마지막이라 생각하고 임했다""라며 ""리우 올림픽 전까지는 흐르는...",2021. 8. 10.
18,박인비 샵라이트 LPGA 클래식 1라운드 2오버파.,한국여자프로골프의 레전드 박인비는 샵라이트 LPGA 클래식 1라운드에서 아쉬운 경기를 펼치며 마무리했습니다. 골프의 여제 박인비는 골프 명예의 전당에 헌액된 위대한 선수입니다. 골프 명예의 전당에 헌액된 한국여자프로골프 선수는 박인비와 박세리 선수 단 2명입니다. 박인비는 골든...,2022. 6. 12.
19,박인비 뉴케어 액티브 프레소 아침엔 느낌 있게 프로피 한 컵~,"참, 도쿄 올림픽에서도 얼굴을 봤던 프로 골퍼 박인비 선수가 뉴케어의 모델이에요! 강원도로 이사 가서 혼자 뭐 먹고 사냐~ 엄마곰부터 우리... 가볍게 식사 대용을 찾거나 등등 해외 셀럽들 사이에서 유행이라는 프로피 뉴케어 액티브 프레소 추천해요! ▶ 박인비 단백질 뉴케어 액티브 자세히 보기",2021. 8. 13.
20,'박성현 10만 달러 돌파' '최혜진 신인 1위 탈환' '박인비 300회 출장' ··· LPGA...,"'박성현 10만 달러 돌파' '최혜진 신인 1위 탈환' '박인비 300회 출장' ··· LPGA 세가지 의미있는 기록들 2022 시즌 미국여자프로골프(LPGA) 투어... ◆ 박인비, 한국선수 10번째 300회 출장 박성현과 함께 공동15위로 대회를 마감한 박인비는 LPGA 투어에 뛰는 한국여자골퍼 10번째로 '300회...",2022. 6. 13.
21,"넬리 코르다, 브룩 헨더슨 두 장타자에 정교함으로 맞서는 박인비, KPMG 위민스 PGA...","박인비가 KPMG 위민스 PGA 챔피언십 4번째 우승에 도전한다. 지난주 마이어 LPGA 클래식에서 플레이 하고 있는 박인비. 박인비(34)가 미국여자프로골프(LPGA) 투어 시즌 3번째 메이저대회 KPMG 위민스 PGA 챔피언십(총상금 900만 달러)에서 넬리 코르다(미국), 브룩 헨더슨(캐나다)과 1라운드를...",2022. 6. 22.
22,"17673 탄 `메이저 사냥꾼` 박인비, KPMG 여자 챔피언십 4번째 우승 도전(종합)",도전하는 박인비▶ 여기를 누르시면 크게 보실 수 있습니다 미국여자프로골프(LPGA) 투어 메이저대회인 KPMG 여자 PGA 챔피언십 2015년 대회에서 3년 연속 우승을 달성한 박인비(34)가 7년 만에 4번째 대회 우승에 도전한다. 박인비는 오는 24일(한국시간)부터 미국 메릴랜드주 베데스다의...,2022. 6. 22.
23,"LPGA투어, HSBC 위민스 월드 챔피언십 1R, 박인비, 김아림...","LPGA투어 2022시즌 4번째 대회 ""HSBC 위민스 월드 챔피언십"" 1R 경기 결과 (박인비.김아림선수 공동2위) LPGA투어 시즌 4번째 대회로 아시아의... 뒤를 이어 우리 한국의 #박인비선수가 버디5개, 보기1개를 찹아내며 4타를 줄여 4언더 파 68타를, #김아림선수는 노보기 무결점 플래이를 펼치며...",2022. 3. 3.
24,박인비 뉴케어 액티브 프레소 챙겨요!,"박인비 단백질 뉴케어 액티브 프레소 요즘은 음료하나도 건강을 위해 선택하는 시대! 나이를 먹을수록 더 그래야겠지만 코시국이라 집에서... 속이 편하게 마실수 있는 박인비단백질이에요^^ 19가지 비타민과 미네랄, 단백질, 칼슘 등 필수 영양소가 가득 담겼으니 하루에 한 팩은 꼭 챙겨...",2021. 8. 13.
25,"[숍라이트클래식 최종] 브룩 핸더슨 우승(-12), 신지은 T9(-8), 박인비·박성현 T15...",한국 선수 중에서는 신지은이 공동 9위로 가장 좋은 성적을 거뒀고 박인비와 박성현은 공동 15위로 대회를 마쳤다. 최혜진은 공동... T15 박인비 -6 71-69-67 T15 박성현 -6 68-69-70 T17 최혜진 -5 69-70-69 T17 최운정 -5 71-69-68 T17 이정은6 -5 68-71-69 T17 고진영 -5 67-71-70 공동 15위 박인비 ...,2022. 6. 13.
26,박인비의 기아 클래식 우승 클럽,"박인비(Inbee Park) 1988년생(만 32세) 키 168cm 몸무게 65kg 2006년 프로 데뷔 LPGA투어 통산 21승(메이저대회 7승), 2016년 올림픽 금메달리스트... ※ 관련 글(아래 제목을 클릭하세요!) - 가면증후군 슬럼프를 극복한 박인비 - 평창올림픽 개막식에 깜짝 등장한 박인비 - NBA스타...",2021. 3. 29.
27,LPGA 탑 50 선수들-16 : 박인비(No. 3),박인비 입니다. 너무나 잘 알고 계셔서 새삼 다시 소개할 필요가 없지 않나 생각되기는 합니다. 순위 순위 순위 순위 순위 1 넬리 코다 11 다니엘 강 21 이나미 모네 31 예리미 노 41 찰리 헐 2 고진영 12 패티 타바타나킷 22 아리야 쭈타누간 32 셀린 부티에 42 에이미 올슨 3 박인비 13...,2022. 5. 2.
28,박인비 선수의 LPGA 우승을 축하 합니다.,이번에는 와이어투와이어 우승 소식입니다.^^ 박인비 선수가 지난 29일 미국 캘리포니아주 칼즈배드에서 끝난 LPGA 투어 KIA 클래식(총상금 180만... 출처 : 연합뉴스 그리고 이번 대회에서 우승하면서 박인비 선수는 LPGA 21승을 기록 했는데요. 여기서 4승을 더하게 되면 지금은 은퇴한 박세리...,2021. 3. 30.
29,"고진영, 박인비, 김세영, 김효주 도쿄올림픽 골프 대표 선발 확정","고진영, 박인비, 김세영 선수가 차지하면서 일찍이 국가대표를 예약했었다. 마지막 한 자리를 놓고 김효주와 유소연, 이정은 등이 경쟁했으나 최종 티켓은 올 시즌 부활의 우승을 이미 거둔 김효주에게 돌아갔다. 넬리 코다에게 세계랭킹 1위 자리를 내줬지만 고진영이 2위, 박인비가 3위...",2021. 6. 29.
30,"팔로스 베르데스 챔피언십 2022, LPGA 투어 고진영, 박인비, 최혜진 LPGA 첫 우승도전","박인비. 박희영. 안나린. 양희영. 유소연.. 이정은. 전지원. 제니신. 지은희. 최나연. 최운정, 최혜진, 홍예은 프로가 출전하며 난나 코에츠 매드슨. 노 예림. 콜 브로크. 라르센. 다나 핀켈스테인. 대니엘 강. 데비 베버. 레이첼 로한. 버질리.렉시 톰슨, 로렌 스티븐슨. 코플린 프로 등이...",2022. 4. 27.
31,박인비를 모른다꼬?,"-박인비를 모른다꼬? 언니야 니는 간첩이다 ㅋㅋㅋㅋㅋㅋ 제자 기협의 부인이 박인비 라고 했을때 다들 놀라는데 -그 사람이 누군데? 캤다가 간첩 될뿐!!!!! 여보시게 동생! 난 여행 밖에 모르네 ㅋㅋㅋㅋㅋㅋ . . . 그러니까 자그마치 32년전, 그때 나는 경주의 작은 시골 학교에서 아이들을...",2022. 1. 15.
32,"*박인비,김세영,박성현등 컷 탈락-2022 LPGA 투어 ""마이어 LPGA 클래식 포 심플리...","*박인비,김세영,박성현등 컷 탈락- 2022 LPGA 투어 ""마이어 LPGA 클래식 포 심플리 기브""-2라운드* 2022 LPGA 투어 ""마이어 LPGA 클래식 포... 유소연, 이미림, 이정은5가 공동 24위로 김세영, 박인비, 박성현등은 컷 탈락했다. 18일(한국시간) 미국 미시간주 그랜드 래피즈에...",2022. 6. 18.
33,어쩌다사장 차태현 조인성이 가꾸는 원천상회에 뜬 박인비 월드클래스,"15일 저녁 8시 40분 방송되는 8회에서는 세계 최정상급 골퍼 박인비와 그의 코치이자 남편인 남기협 프로, 동생 박인아까지 '박인비 가족'이 총출동한다는 선공개 영상도 떴다. 박인비 가족이 준비해 온 식자재도 독도 꽃새우부터 자연산 전복까지 월드클래스급이다. 얼떨결에 최고가 슈퍼 바의...",2021. 4. 15.
34,박인비 프로틴커피 뉴케어 액티브 프레소,"박인비의 프로틴커피 #프로피 간편하고 맛있게 즐기는 단백질커피 뉴케어 액티브 프레소 진심 반해서 야금야금 다 먹어가요 , 재구매의사 200% ♥ 여자라면 누구나 1년 365일 다이어트를 하잖아요 ㅋㅋ 저도 늘 다이어트를 한다고 이야기를 하지만 한 100일 정도, 3개월 동안은 좀 진지하게 ㅎㅎ...",2021. 8. 12.
35,"17534 탄 고진영·박인비, 10일 개막 LPGA 투어 숍라이트 클래식 출전",과 박인비(34)가 10일(한국시간) 미국 뉴저지주 갤러웨이에서 개막하는 미국여자프로골프(LPGA) 투어 숍라이트 클래식(총상금 175만 달러)에 출전한다. 갤러웨이의 돌체 호텔 시뷰 베이코스(파71·6천190야드)에서 열리는 이 대회는 사흘간 54홀 스트로크 경기로 우승자를 정한다. 고진영과 박인비...,2022. 6. 7.
36,한국여자 골프의 역사 박인비선수,지난번 박세리선수에 이어 LPGA 투어에서 활동하고 있는 한국여자 골프의 역사를 새로 쓰고있는 박인비선수^^ 메이저대회(7회우승) 포함해서 LPGA 대회에서 총 21번이나 우승을 했죠. 2013년 4월 15일에 여자골프 세계랭킹 1위에 오른 박인비선수는 1998년 US오픈에서 박세리선수가 물에...,2022. 5. 10.
37,"샵라이트 LPGA 클래식 박인비,고진영 아쉬운...","LPGA투어 시즌25번째 대회 ""샵라이트 LPGA 클래식"" 프랑스 셀린부티에 역전우승 박인비,고진영 준우승 미국 뉴저지주 시뷰 돌체리조트... 동 대회 2R까지 공동선두를 기록하고 오늘 FR에서 우승 경쟁을 벌이던 #박인비,#고진영선수는 약속이나 한듯 나란히 2타를 줄이는데 그쳐 69타를 기록하며...",2021. 10. 4.
38,"[LA오픈 최종] 나사 하타오카 우승(-15), 한나 그린 2위(-10), 박인비 T3(-7), 최혜진...",한국 선수로는 박인비(33세)가 가장 좋은 성적인 공동 3위로 대회를 마무리했다. 이 대회는 미국 캘리포니아 로스앤젤리스의... 최종 리더보드 선수 파 스코어 우승 나사 하타오카 -15 67-68-67-67 2 한나 그린 -10 70-67-69-68 T3 마들렌 세그스톰 -7 69-72-70-66 이민지 -7 70-68-71-68 박인비 -7 72-67-68-70...,2022. 4. 25.
39,2022 LPGA 투어 중계 팔로스 베르데스 챔피언십 고진영 박인비 경기 방송 보러가기,"고진영 박인비를 비롯해 18명이 도전합니다. 총 145명이 출전하는 이번 대회에서 여자 골프 세계 1위 고진영이 최근 연속 부진했던 경기력을... 한편 LA 오픈 공동 3위에 올랐던 박인비는 이번 대회 첫날 제니퍼 컵초, 아타야 타티쿤과 동반 플레이를 앞두고 있는데요. 컵초는 시즌 첫 메이저...",2022. 4. 28.
40,2020 도쿄 올림픽 남녀 골프 엔트리 및 경기일정 박인비 고진영 김세영 김효주,지난 2016 리우 올림픽에서 112년만에 올림픽에 정식정목으로 돌아온 골프에서 한국 골프 여제 박인비 선수가 금메달을 땄습니다. 이번 2020... 출처 : 위키미디어 2016 리우 올림픽에서는 남자는 영국의 저스틴 로즈 여자는 대한민국 박인비 선수가 금메달을 획득했습니다. 박인비는 이...,2021. 7. 25.
41,간편하게 즐기는 박인비 뉴케어 액티브 프레소,간편하게 즐기는 박인비 뉴케어 액티브 프레소 안녕하세요. 네이버 여행 인플루언서 고미리레 입니다. 코로나 시대가 영원히 끝나지 않을것처럼... 프로골프선수 박인비 선수도 선택한 뉴케어 액티브 프레소! 과연 그맛은 어떨지 너무 궁금하더라구요~ 사실 커피는 매일 한잔 이상씩 마시고...,2021. 8. 13.
42,"LPGA 투어 4월26일 발표, 세계랭킹 고진영 1위, 김효주 8위, 박인비 9위, 김세영 11위,","LPGA 투어 롯데챔피언십 우승을 한 김효주가 8위를 지키고 있으며 골프의 여제 박인비는 9위를 지켰고 있습니다. 재미교포 대니엘 강이 10위, 빨간 바지의 마법사 역전의 여왕 한국의 김세영이 11위, 개나타의 브룩 헨더슨이 12위로 랭크되었습니다. #골프라운드 #골프 #골프장 #골프여행...",2022. 4. 26.
43,"‘3연패’ 박인비, 코다·헨더슨과 1R 출발, 23일 저녁 티오프",박인비 KPMG 위민스 PGA 챔피언십 출격 넬리 코다·브룩 헨더슨과 '역대 챔피언 조' 사진제공=AFPBBNews [한국레저신문 김대현기자] 미국여자프로골프(LPGA) 투어 메이저 대회 KPMG 위민스 PGA 챔피언십(총상금 900만 달러) 3연패를 달성했던 박인비(34)가 역대 챔피언들과 1·2라운드에서 맞붙는다....,2022. 6. 23.
44,"[골프issue] 박인비, US오픈 무승 사슬 끊을 수 있을까","""<사진출처_연합뉴스>"" <> 박인비를 비롯한 한국 여자 골프 선수들이 KPMG 여자 챔피언십에 출전합니다. 1년 반동안 무승이 이어지고 있는 US오픈에서 어떤 선수가 우승 소식을 전해줄 수 있을지 기대되는데요, 자세한 내용은 트러치 기사에서 확인해 주세요!",2022. 6. 22.
45,HSBC위민스월드챔피언십/위민스월드챔피언십 박인비선두,"한국의 #박인비선수가 8언더파로 단독선두에 나섰고#박희영선수가 7언더파로 2위,#유소연 #김효주선수가 5언더파로 공동3위에 올랐다ㆍ... 기원합니다 #센토사골프클럽#센토사GC#HSBC위민스월드챔피언십#위민스월드챔피언십#고진영#박인비#김효주#양희명#박희영#박성현#LPGA...",2021. 4. 29.
46,"박인비, KPMG 위민스 PGA챔피언십 4번째 정상 도전","박인비, KPMG 위민스 PGA챔피언십에서 시즌 첫 승 도전 (사진 출처=박인비 인스타그램) (서울=우리뉴스) 설현수 기자 = 박인비(34)가 오는 23일(현지시간) 미국 메릴랜드주 베데스다의 콩그레셔널 컨트리클럽(파72)에서 개최되는 메이저대회 KPMG 위민스 PGA챔피언십에서 시즌 첫 승에 도전한다....",2022. 6. 23.
47,골프 김효주 박인비 김세영 고진영 세계 랭킹 나이 메달 도전 4라운드 좋은 결과...,"고진영, 박인비는 이븐파로 제자리걸음을 했으며 김효주는 1타를 줄이는데 그쳤습니다. 골프 김효주 나이 27세 세계 랭킹 8위, 박인비 나이 34세 세계 랭킹 4위, 김세영 나이 29세 세계 랭킹 9위, 고진영 나이 27세입니다. 김세영이 한국 선수 중 가장 많은 3타를 줄이면서 합계 7언더파 206타를 쳐...",2021. 8. 7.
48,기아클래식 박인비 우승 통산21승,"박인비의 통산21승이 곧 이루어질 전망이다. 첫날부터 선두로 3라운드까지 쾌조의 컨디션으로 1위를 지키더니 우승까지 바라보게 되었다. 기아클래식 전LPGA투어 우승이 모두 미국선수들이 나와서 부럽고, 아쉬웠는데 이번 기아클래식이 한국선수들이 신호탄이 되길 간절히 기원해본다. 박인비의...",2021. 3. 29.
49,"고진영과 양희영 1타차 공동선두, 박인비 3타차 공동 10위 HSBC위민스월드 챔피언십","고진영과 양희영 1타차 공동선두, 박인비 3타차 공동 10위 HSBC위민스월드 챔피언십 4일(한국시간) 싱가포르 센토사골프장 탄종코스(파72... 골프여제 박인비는 버디 3개와 보기 2개를 묶어 공동 10위다. 이정은6, 공동 14위, 디펜딩챔프 김효주는 공동 26위에 자리했다. 김세영 공동 54위...",2022. 3. 5.
50,"그랜드 베케이션스 토너먼트 오브 챔피언스"" 2R,박인비 상위권 도약 !","LPGA투어 2022시즌 개막전 ""힐튼 그랜드 베케이션스 토너먼트 오브 챔피언스 2R 결과, 넬리 코다 선수 선두 박인비 선수 7위 오늘 아침(한국시간)... 4명이 출전한 한국선수들의 성적은 #박인비선수가 2R에서 5타를 줄여 67타로 2R 합계 6언더 파를 기록하며 공동 7위로 순위를 끌어 올렸으나...",2022. 1. 22.
51,"[HVC토너먼트 2R] 넬리 코르다 1위(-10), 대니얼 강·가베 로페즈 T2(-9), 박인비 T7...","미국여자프로골프(LPGA)투어 2022 시즌 개막전인 힐든그랜드버케이션토너먼트오브챔피언스 2라운드에서 박인비가 공동 7위에 올랐다. 공동7위 박인비 22일 미국 플로리다주 올랜도의 레이크노나골프&컨트리클럽(파72, 6617야드)에서 열린 대회 이틀째. 박인비는 버디 6개에 보기 1개로...",2022. 1. 22.
52,[골프/용품] LPGA 박인비 프로 싸인모자 - 2022년 젝시오 신제품 이벤트 후기,저의 관심을 가장 끈 것은 바로바로 박인비 프로의 싸인모자를 증정하누는 댓글 이벤트였습니다ㅎㅎ 1월 5일 라이브 방송 전까지 박인비 선수에 대한 응원의 댓글 또는 젝시오 라이브에 대한 기대평을 쓰면 추첨을 통하 20명에게 친필 싸인모자를 증정해준다는 것이었습니다 *_* 현재 젝시오 4번...,2022. 2. 23.
53,LPGA 투어 2022 롯데 챔피언십 중계 전인지 박인비 김효주 경기 방송,"이번 대회 박인비는 유카 사소, 오스틴 언스트와 함께 오전 7시 50분 1번홀에서 티오프하는데요. 박인비는 올해 개막전과 JTBC 클래식에서 기록한 두 차례 공동 8위가 가장 높은 순위로 메이저 셰브론 챔피언십에선 공동 35위였습니다. 박인비와 같은 시각 10번홀에서는 김효주가 페린...",2022. 4. 13.
54,LPGA 기아 클래식 우승 2021/박인비 프로 통산21승,"박인비 선수가 올해 처음 출격한 미국여자프로골프 투어 대회에서 우승을 차지했다. 미국 캘리포니아주 칼즈배드 아비아라 골프클럽에서 열린 LPGA 투어 KIA 클래식 4라운드에서 이글 1개와 버디 3개, 보기 3개를 묶어 2언더파 70타를 쳤다. 최종 합계 14언더파 274타를 기록한 박인비 선수는...",2021. 3. 29.
55,"어벤져스 여자 골프 - 김효주, 김세영, 고진영, 박인비 & 출전일",수 07:30 4위 고진영 (합계 68) 7위 박인비 (합계 69) 7위 김세영 (합계 69) 16위 김효주 (합계70) 여자골프 2라운드 가스미가세키 컨트리클럽 2021.8.05. 목 07:30 6위 고진영 67 (합계 135) 11위 김효주 68(합계 138) 11위 김세영 69 (합계 138) 24위 박인비 70(합계 139) 여자골프...,2021. 8. 4.
56,"간 프로골퍼들 (다니엘 강, 알렉스 강, 박인비, 최나연 선수) (BTS Las Vegas Concert)",'다니엘 강' 선수의 오빠인 '알렉스 강' 선수 골퍼 최나연 선수 SNS Previous image Next image 박인비 선수 SNS 다른분들은 잘 모르겠어요 그래서 한국 선수들만 #방탄소년단 #방탄소년단콘서트 #방탄소년단라스베이거스 #박인비 #다니엘강 #알렉스강 #bts #아미 #army #RM #suga #jhope #V #jin...,2022. 4. 11.
57,"KPMG 박인비 출사표, 넬리 코다 / 브룩 헨더슨과 라운딩","""<사진출처_연합뉴스>"" "" "" <> 박인비 선수가 7년 전 마지막으로 우승을 기록했던 PGA 챔피언십에 출사표를 던졌습니다! 오랜 기간 우승을 하지 못해 아쉬웠는데요, 이번 대회에서 함께 라운드를 진행하는 쟁쟁한 선수들도 관심을 받고 있습니다! 자세한 내용은 트러치 기사에서 확인해 주세요 : )",2022. 6. 24.
58,기아클래식박인비우승예약/기아클래식박인비단독선두질주,시작한 #박인비선수는 오늘 3타를 줄여 12언더파로 2위그룹과 5타차 단독선두를 유지해 #기아클래식우승에 한걸음다가섰다ㆍ 기아클래식 매... 내일 박인비선수와 마지막조로 출발한다ㆍ #lpga세계랭킹1위 #고진영선수가 오늘 안정된 플레이로 4타를 줄여 6언더파로 공동5위 선두권으로...,2021. 3. 28.
59,"박인비, 고진영.. 충분히 연장전 갈 수 있었지만..",박인비(33)와 고진영(26)이 아쉽게 1타 뒤진 공동 준우승을 차지했다. 박인비와 고진영은 4일(한국시간) 미국 뉴저지주 갤러웨이의 돌체 호텔 시뷰 베이코스(파71·6천190야드)에서 열린 미국여자프로골프(LPGA) 투어 숍라이트 클래식(총상금 175만달러) 마지막 날 3라운드에서 나란히 2언더파...,2021. 10. 4.
60,"골프의 여제 박인비 LPGA 투어 뱅크오브호프 Lpga 매치플레이, Us 오픈 불참 선언...",골프의 여제 박인비 선수가 컨디션 저하로 이번주 개막하는 뱅크오브호프 Lpga 매치플레이 대회와 LPGA 투어 메이저 대회 US여자오픈에 불참하기로 했습니다. 박인비가 US여자오픈에 출전하지 않으면서 꿈의 대회를 출전할수 있는 대기 선수 중 안드레아 리가 US여자오픈에 출전하게...,2022. 5. 25.
61,"HSBC 위민스 월드 챔피언십 2라운드 박인비,전인지, 고진영,김아림,양희영,박인비...","2022시즌 HSBC 위민스 월드 챔피언십 2라운드 결과 한국의 양희영이 8언더파, 고진영이 8언더파, 전인지가 6언더파, 박인비 5언더파, 김아림이... 골프의 여제 박인비는 이번 대회에서 남편이 캐디로 참가해 완벽한 캐미를 보여주고 있습니다. 최고의 투어프로 박인비 선수와 최고의 레슨프로...",2022. 3. 4.
